ADDR_PCT_CD,Latitude,Longitude
60,40.57948077727892,-73.98110056602285
61,40.59629335141039,-73.95179006705277
62,40.60649579934,-73.99334734094333
63,40.62190153842237,-73.92693409170226
66,40.63359251857129,-73.98550058416818
67,40.64989732107655,-73.93577318829098
68,40.62745883520367,-74.02261589756851
69,40.64007491046345,-73.90071693071626
70,40.63790392746943,-73.9587057007108
71,40.66301520476071,-73.94695198243885
72,40.64867070013714,-74.00638806367543
73,40.66899502408552,-73.91089668429267
75,40.668283557566944,-73.88172697724352
76,40.67921654553038,-74.00042709189225
77,40.67353190230652,-73.94158398051236
78,40.67549375328505,-73.97959777524187
79,40.68918621992396,-73.94843816653764
81,40.686615956358956,-73.92927505699278
83,40.696081306057664,-73.91994884986245
84,40.692614553217595,-73.9868891817799
88,40.690906811089675,-73.97245355589675
90,40.70766538067328,-73.94836403406084
94,40.722508152301,-73.9512292848865
